GenomeID,Fitness,NumberEvolvingFitter,NumberEvolvingEqual,NumberEvolvingLessFit
f3cab81e-5075b446-8169bc67-2c8c1114-cb66dc23,0.000874412,2369,171,47460
bb08f71e-74fe08b5-6027f004-1dbb9f82-dd2a428d,0.000611735,7162,1271,41567
90c690d2-a829bf38-2b24a19-1cd10808-3166d070,0.000305868,15884,1669,32447
5d1f56d3-de56032c-94de96c-dfa7ca0c-683c4023,0.000578183,7822,441,41737
89861173-b7118679-d8459b18-69902ce9-466a1272,0.000367041,20241,1476,28283
6ebc6f5c-72523674-28c65175-55997400-334a0ec4,0.000240326,16114,713,33173
f3b6c2da-58958b08-68625362-aedce47d-e12c2754,0.000411987,19132,4627,26241
63df4f30-9fa376b4-d5bc4cc6-18ee171c-747b04a9,0.000381039,8433,1405,40162
d1f99881-6b045b4-7e4116e-b8647a27-4225ac14,0.000685871,8295,2272,39433
e0db7e9f-5d5429e7-772f8950-8473b193-c8764157,0.000771605,5478,3313,41209
b37ee78-373e1ba1-c80a5eef-d2c776a-4cdaec47,0.000609663,12167,2419,35414
3030eb15-8cfb2b5f-df1f06cb-4ca61768-89d08b1d,0.000367041,19088,1467,29445
5b11d299-ed6a6624-661b28a1-7287629d-4504924f,0.000305868,18584,1294,30122
3e2cd2aa-478f1546-bf113df5-14eca31e-91a53f82,0.00219727,3693,1948,44359
f45074fc-6da90c74-72b72172-31e56c5-4ad264d,0.0006,14680,308,35012
50e0ec86-150156ae-407dc844-e269299d-3f117fb6,0.000976562,5323,6744,37933
a57c0b62-3ebebefa-e9af10e7-5c8b38ad-e3c270dc,0.000915527,2262,838,46900
9b1eceba-29a4dd86-acb592b-4a277643-33356f73,0.00154321,2387,1674,45939
61184dfc-52ff8508-6c7954b5-3a92b83c-66dd82ae,0.000530842,11607,2518,35875
f953949-edfd0996-601c486c-f2a3a985-e81256c3,0.000669041,8357,387,41256
f3e71b2b-84d3c41a-954985ee-4245e3b0-6856a5a8,0.000353894,17958,4348,27694
9c3c1299-26e0f84e-a6b4b74a-6ba08368-c85bda3f,0.000804663,5002,961,44037
bef636d5-61ce047e-5a0927af-7a38bc4f-50d217c9,0.000565778,13669,752,35579
fed4fefc-acd33ad9-79f5fc94-fa969242-d780679b,0.000541923,7683,5371,36946
69289eb5-f247f11d-bf9b0c0b-8995edd2-15d5bc71,0.000428669,21058,2452,26490
aae33046-23624631-1631a91d-23587628-e21df815,0.000411987,18838,7304,23858
a0276070-6c28a4b3-788470ea-2fab663e-32a23504,0.000771605,5840,1492,42668
3caf7403-b11768fb-5d0838f7-e50c348b-ef77ae5e,0.000749375,6844,25,43131
83212040-b2c2c2c9-bc8fa8b7-19e28f1c-2c3f7997,0.000541923,11164,10517,28319
d770209c-acf06356-4416dab8-2ea04435-24dd5909,0.000411987,15115,6071,28814
d8f90849-d2db69d7-5977d243-a6e1367b-a4c32c4b,0.000411987,11496,6022,32482
f966128d-110fb970-57490e09-f547c607-bca22f3,0.000411987,11858,6691,31451
8a8b26c7-541743ac-7f14b8fb-1047f1c1-7312c721,0.00188046,3828,292,45880
544036d6-a946151c-3a84972f-2a964464-b3ca1ce0,0.000804663,2765,925,46310
6bb7dd31-5c18955e-687ceb40-510a00e-228efcb7,0.000541923,7837,6290,35873
29fead0f-74270d20-5e570641-d8668e4c-cd8b39ed,0.000428669,9801,2239,37960
f1d9e786-603fb44e-ded852d9-a8761984-818f70ef,0.00171661,2807,83,47110
bf6d5724-1e289d21-bec8323c-89268d1b-242e979d,0.000211689,17610,1453,30937
32df947c-ae4e3b24-e8f621d0-292de17-df0ca494,0.000305868,15743,946,33311
8c9cb5b0-770e7728-73f6e83a-674c1bc1-8eedfbfb,0.000428669,10805,1799,37396
7ede674-f51f99b4-3c70351f-94362b15-41a08869,0.000353894,15956,3984,30060
bf48303c-3fbe27cc-ae218a6e-514045b7-2c83506c,0.000148844,14405,2384,33211
faa0ae0f-3cfcb298-fe80c6c4-878497e0-2af13685,0.000353894,19425,1762,28813
8174b24-c656f8a0-ffa1cb3-264a773-8ba6fba5,0.000549316,10112,3710,36178
b9154277-80acb9bd-79efdad7-d832c3c4-3517c5a7,0.000825976,5484,535,43981
40f0f11d-e5acb7ee-e773526-d91dacdc-7f3fc8d7,0.000428669,21098,2454,26448
1078c444-877d8ffd-452cc1bf-5fa3ea8d-724663a8,0.000304832,26445,191,23364
8ba9eab3-f0d334b3-bcab2556-99791b59-666cd5c2,0.000353894,23076,4414,22510
ae9c76f5-252f035b-c05b0ecd-4800f08e-fc9f1e46,0.000734082,6924,1526,41550
