GenomeID,Fitness,NumberEvolvingFitter,NumberEvolvingEqual
1099-3cc8-982-21f8-2dd9,0.000289679,16208,10
8073-4726-eed2-5959-b1f1,0.000685871,5028,421
ef29-c4aa-7366-d4b-ac5e,0.000976562,1315,176
c6f8-d86c-6180-b5ca-31c5,0.000411987,11989,958
1371-5621-1a51-63a0-e5f6,0.000385802,13753,16
9c81-a3a2-453b-a52b-866d,0.000353894,14411,845
89a1-7746-bb9f-cedc-1c71,0.00030899,15318,620
420c-966-fc0b-beb7-8f60,0.000183521,18355,62
1505-a945-e0b3-585b-edec,0.00025489,16954,97
e878-e258-3a37-c2f8-1c97,0.000541923,8007,1460
9ff5-27e6-16c9-9c01-e69d,0.00023593,16796,328
4f67-1f0-5cfb-301b-5a4b,0.000353894,14425,155
4ae8-1893-3ca3-851f-db8b,0.00147181,1294,0
593a-b618-d03-6b78-6afd,0.00064373,5251,166
1941-95b2-a984-9cc5-7b8c,0.000530842,10046,535
b6e7-3cba-a372-cdb0-d8bb,0.00118519,1069,0
8a0f-73da-a522-5eb-60c5,0.000353894,14482,906
bd00-bc-9e00-f9a3-85db,0.00023815,17441,51
ddc0-c963-697-7bc1-c306,0.000603497,6647,200
d43a-6f58-1bab-2843-bfce,0.000267918,16579,61
5840-f7d7-c72a-d190-6ade,0.000353894,14230,168
9c37-239b-67f3-e51f-1ac8,0.000524647,10473,9
6af4-8ecc-6acf-c347-9b2e,0.000754371,3724,103
8df0-11b7-3b74-a99c-39fa,0.000541923,8102,1499
fb42-1dc-31d1-c26c-d36c,0.000530842,10136,552
9caf-5ea4-f707-4a3-43c3,0.000381039,13716,438
f0ae-f9e7-683f-2c3-3763,0.000353894,14478,844
345a-90b3-491a-6fce-3a4f,0.000685871,4805,320
13ca-837c-50b7-5ce4-f34a,0.00082944,2112,14
8b07-dff9-5e5b-c733-94df,0.000411987,11918,995
8aea-fb2a-9a80-d42-c7bd,0.000353894,13860,823
ba0d-20c0-aa0e-1868-e7f3,0.000602136,6289,9
9c2a-620e-a416-9206-648b,0.000530842,9402,529
2e66-1cf0-5fb5-c8e6-2a33,0.000530842,8989,425
8fdf-bf8d-9f16-4e9e-e4ef,0.000381039,13180,371
dbe5-43e9-d091-e862-6c4a,0.000549316,7065,671
57bd-bef5-4eb8-ffa9-3f95,0.00030899,15217,632
e412-43f3-c8f0-2b0f-4358,0.000530842,9543,423
67d4-a371-1485-a46c-85bb,0.000642426,5399,2
f3a4-8051-c9a4-c436-68b4,0.00036,14041,4
35ee-1bf3-27a9-84a6-1b9c,0.000267918,17205,99
673e-ce34-ab24-6661-b6d8,0.000804663,2803,116
894b-4a73-facb-523b-7583,0.000541923,8076,1433
2df0-171b-1aea-4275-bb87,0.000734082,4280,305
31df-3374-f313-dd03-99d6,0.000541923,8112,1576
a9ec-664f-e449-a4b7-b88a,0.000530842,9549,452
c7fe-d3d8-a93c-e2e8-164d,0.000549316,6895,687
64c4-838d-4c67-a09d-edd7,0.02304,96,4
46b7-452a-8e10-5cfa-1160,0.000520365,9998,69
b2ef-8ed9-44d4-a602-6bdd,0.000353894,14152,778
6e5a-e883-6fa3-e058-e320,0.00365798,643,9
c93e-b443-a87b-7a52-18af,0.000796262,2734,176
8975-f0fe-7025-31f0-6b51,0.000509779,10161,249
8b49-31e2-7419-bee8-a69c,0.000541923,7501,1410
af2e-3491-8e10-61f8-fd9e,0.000541923,7893,1395
a15d-cfe5-84f2-1576-8ecd,0.000213333,17873,1
2b8e-c4a4-c35f-b99e-269d,0.000386238,13113,42
c7d0-8946-fdef-4cc3-9ebc,0.000353894,13792,829
8cbd-7851-6361-501c-31f0,0.000530842,10243,493
89fe-1119-ecea-27a-6747,0.000541923,8111,1351
16bd-e25d-2862-f770-47ec,0.0123457,249,21
6c4b-c8a6-74ce-e10b-b08f,0.000231743,17540,193
f601-a387-aac8-1e64-9af8,0.00076171,3207,16
8015-ba01-d2e0-ee05-f5f4,0.00219727,858,17
5930-21cd-b9b6-babb-b610,0.0925926,42,0
5f4d-209c-b32a-15ec-ffbf,0.000298598,16304,0
bc8a-ae25-867c-ca7c-d0d4,0.000880898,1703,81
9094-5c71-5553-1bbf-5409,0.0008205,2541,13
7a33-688e-684f-edcc-7964,0.000976562,1168,263
6c47-f22e-a25a-46ef-153f,0.000541923,7931,1500
37f2-47f0-9e69-e151-c1d6,0.000603497,6754,155
50be-e57a-7bf9-c26f-da24,0.0006075,6509,0
8bf7-77a8-fa5d-2a60-58f9,0.000578183,6443,61
c75c-3eae-ecad-d4f3-7e64,0.000530842,9486,479
9f1b-60ea-f60c-9978-8b4a,0.000732422,4053,261
4f05-55ac-3e99-384-3c44,0.000381039,12936,418
